"Temperature (degC), TC1","Temperature (degC), TC2","Temperature (degC), TC3","Temperature (degC), TC4","Temperature (degC), TC5","Temperature (degC), TC6","Temperature (degC), TC7","Temperature (degC), TC8","Temperature (degC), TC9","Temperature (degC), TC10",V_coil_rms (V)
393.697622,214.7794481,305.3242319,207.1678012,175.8323232,339.2147674,386.3661812,188.7159221,272.8880845,198.0880358,79.44014402
407.2551501,217.3408975,312.3484722,205.4395333,174.7869793,329.3786848,382.2367535,188.4011407,272.1181781,196.5261025,79.44904022
396.6920222,215.3111728,307.0931519,206.5044903,175.7060047,337.0106317,387.1839116,188.909851,273.5408786,197.9677717,79.43933821
425.7183847,223.4249586,323.9424152,212.7399524,177.0066865,346.8292451,394.6456818,190.9119053,279.3655293,200.2911902,79.28679898
399.2450808,215.4610161,305.4255561,206.3722028,173.753277,326.9405939,365.9991305,185.8333644,263.6965959,194.2878289,79.50942425
393.1926347,214.2984964,303.4445018,206.3235509,174.5582169,331.8771064,373.8028195,186.8328567,266.9171624,195.7225708,79.49150297
396.5353662,215.6887224,304.6206256,209.5040768,174.8180221,336.9067191,370.3963257,186.5096469,265.5433254,195.9535787,79.46289944
387.0361136,212.0777488,300.0010672,202.7921108,173.8846381,324.553473,372.8210709,186.4660322,266.0549985,194.7050654,79.54800542
375.2961191,208.6375401,291.3507329,200.6045202,172.3879134,316.3940051,357.8113797,183.9173649,258.0335322,191.8706802,79.6481369
391.0879184,212.5513123,300.251068,202.1440755,172.4930639,316.4199308,359.4674601,184.5530491,260.0519601,192.1788015,79.59582512
408.707934,216.817927,310.0446448,203.5622721,172.61391,316.1502007,361.6417945,185.3294427,262.3931458,192.5447784,79.54062346
388.0273761,212.9214155,301.4295103,205.0871238,175.0209702,333.257935,380.4795751,187.6644319,269.6704384,196.6508115,79.49484539
392.0145338,215.7287856,304.2289279,213.1540009,177.1543518,354.4660251,386.3157496,188.8771379,272.649448,199.8878696,79.37389703
407.7052285,218.3151772,313.9163476,208.3076293,176.2623534,340.3114261,392.2761329,189.9800717,276.8594917,199.0419828,79.38006951
375.4383783,209.5236297,293.1176151,203.2989708,174.0460587,328.2268245,370.1251046,185.7923125,263.770979,194.7317258,79.57347139
394.565549,214.0410937,303.8930123,204.2946562,174.0069724,326.0808753,372.5109991,186.6366056,266.4636022,194.9125069,79.5187498
